"REF_DATE","GEO","DGUID","Educational attainment level","Labour force and education status","Age group","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","45","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","46","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","45","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","45","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","46","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","46","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","48","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","48","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","47","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","48","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922742","1.1.2.1.1.1","48","","","","0"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","11","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","12","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","13","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922778","1.1.3.1.1.1","14","","","","0"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","55","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","54","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","55","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","55","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","54","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","54","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","52","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","52","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","53","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","52","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922814","1.1.4.1.1.1","52","","","","0"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","40","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","40","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","40","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","41","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","41","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","38","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","36","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","37","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","37","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","37","","","","0"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","37","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","38","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","38","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","39","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","40","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","40","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","39","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","38","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Employed, not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922850","1.1.5.1.1.1","39","","","","0"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","14","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","14","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","13","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","16","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","16","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","16","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","16","","","","0"
"2014","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","16","","","","0"
"2015","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2016","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2017","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","14","","","","0"
"2018","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","13","","","","0"
"2019","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","13","","","","0"
"2020","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","13","","","","0"
"2021","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","15","","","","0"
"2022","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Sub-total, not in employment, education or training (NEET)","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922886","1.1.6.1.1.1","13","","","","0"
"2004","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2005","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2006","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2007","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2008","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2009","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2010","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2011","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2012","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2013","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2014","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2015","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2016","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2017","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2018","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2019","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2020","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
"2021","Canada","2021A000011124","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247923858","2.1.1.1.1.1","100","","","","0"
