year,location,education_level,status,value
2016,Canada,"Total, all education levels","Total, in education and not in education",100.0
2017,Canada,"Total, all education levels","Total, in education and not in education",100.0
2018,Canada,"Total, all education levels","Total, in education and not in education",100.0
2019,Canada,"Total, all education levels","Total, in education and not in education",100.0
2020,Canada,"Total, all education levels","Total, in education and not in education",100.0
2021,Canada,"Total, all education levels","Total, in education and not in education",100.0
2022,Canada,"Total, all education levels","Total, in education and not in education",100.0
2004,Canada,"Total, all education levels","Total, in education",43.0
2005,Canada,"Total, all education levels","Total, in education",44.0
2006,Canada,"Total, all education levels","Total, in education",44.0
2007,Canada,"Total, all education levels","Total, in education",43.0
2008,Canada,"Total, all education levels","Total, in education",44.0
2009,Canada,"Total, all education levels","Total, in education",43.0
2010,Canada,"Total, all education levels","Total, in education",44.0
2011,Canada,"Total, all education levels","Total, in education",44.0
2012,Canada,"Total, all education levels","Total, in education",45.0
2013,Canada,"Total, all education levels","Total, in education",45.0
2014,Canada,"Total, all education levels","Total, in education",44.0
2015,Canada,"Total, all education levels","Total, in education",44.0
2016,Canada,"Total, all education levels","Total, in education",44.0
2017,Canada,"Total, all education levels","Total, in education",44.0
2018,Canada,"Total, all education levels","Total, in education",43.0
2019,Canada,"Total, all education levels","Total, in education",44.0
2020,Canada,"Total, all education levels","Total, in education",42.0
2021,Canada,"Total, all education levels","Total, in education",44.0
2022,Canada,"Total, all education levels","Total, in education",44.0
2004,Canada,"Total, all education levels","Employed, in education",18.0
2005,Canada,"Total, all education levels","Employed, in education",18.0
2006,Canada,"Total, all education levels","Employed, in education",19.0
2007,Canada,"Total, all education levels","Employed, in education",19.0
2008,Canada,"Total, all education levels","Employed, in education",20.0
2009,Canada,"Total, all education levels","Employed, in education",18.0
2010,Canada,"Total, all education levels","Employed, in education",18.0
2011,Canada,"Total, all education levels","Employed, in education",18.0
2012,Canada,"Total, all education levels","Employed, in education",18.0
2013,Canada,"Total, all education levels","Employed, in education",19.0
2014,Canada,"Total, all education levels","Employed, in education",18.0
2015,Canada,"Total, all education levels","Employed, in education",19.0
2016,Canada,"Total, all education levels","Employed, in education",18.0
2017,Canada,"Total, all education levels","Employed, in education",19.0
2018,Canada,"Total, all education levels","Employed, in education",19.0
2019,Canada,"Total, all education levels","Employed, in education",19.0
2020,Canada,"Total, all education levels","Employed, in education",17.0
2021,Canada,"Total, all education levels","Employed, in education",16.0
2022,Canada,"Total, all education levels","Employed, in education",20.0
2004,Canada,"Total, all education levels","Total, not in education",57.0
2005,Canada,"Total, all education levels","Total, not in education",56.0
2006,Canada,"Total, all education levels","Total, not in education",56.0
2007,Canada,"Total, all education levels","Total, not in education",57.0
2008,Canada,"Total, all education levels","Total, not in education",56.0
2009,Canada,"Total, all education levels","Total, not in education",57.0
2010,Canada,"Total, all education levels","Total, not in education",56.0
2011,Canada,"Total, all education levels","Total, not in education",56.0
2012,Canada,"Total, all education levels","Total, not in education",55.0
2013,Canada,"Total, all education levels","Total, not in education",55.0
2014,Canada,"Total, all education levels","Total, not in education",56.0
2015,Canada,"Total, all education levels","Total, not in education",56.0
2016,Canada,"Total, all education levels","Total, not in education",56.0
2017,Canada,"Total, all education levels","Total, not in education",56.0
2018,Canada,"Total, all education levels","Total, not in education",57.0
2019,Canada,"Total, all education levels","Total, not in education",56.0
2020,Canada,"Total, all education levels","Total, not in education",58.0
2021,Canada,"Total, all education levels","Total, not in education",56.0
2022,Canada,"Total, all education levels","Total, not in education",56.0
2004,Canada,"Total, all education levels","Employed, not in education",44.0
2005,Canada,"Total, all education levels","Employed, not in education",44.0
2006,Canada,"Total, all education levels","Employed, not in education",44.0
2007,Canada,"Total, all education levels","Employed, not in education",45.0
2008,Canada,"Total, all education levels","Employed, not in education",45.0
2009,Canada,"Total, all education levels","Employed, not in education",44.0
2010,Canada,"Total, all education levels","Employed, not in education",42.0
2011,Canada,"Total, all education levels","Employed, not in education",43.0
2012,Canada,"Total, all education levels","Employed, not in education",42.0
2013,Canada,"Total, all education levels","Employed, not in education",43.0
2014,Canada,"Total, all education levels","Employed, not in education",43.0
2015,Canada,"Total, all education levels","Employed, not in education",43.0
2016,Canada,"Total, all education levels","Employed, not in education",44.0
2017,Canada,"Total, all education levels","Employed, not in education",44.0
2018,Canada,"Total, all education levels","Employed, not in education",45.0
2019,Canada,"Total, all education levels","Employed, not in education",45.0
2020,Canada,"Total, all education levels","Employed, not in education",44.0
2021,Canada,"Total, all education levels","Employed, not in education",42.0
2022,Canada,"Total, all education levels","Employed, not in education",45.0
2004,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2005,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2006,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2007,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2008,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2009,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2010,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2011,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2012,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2013,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2014,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2015,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2016,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2017,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2018,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",12.0
2019,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2020,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2021,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2022,Canada,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",11.0
2004,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2005,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2006,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2007,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2008,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2009,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2010,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2011,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2012,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2013,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2014,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2015,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2016,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2017,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2018,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2019,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2020,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2021,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2022,Newfoundland and Labrador,"Total, all education levels","Total, in education and not in education",100.0
2004,Newfoundland and Labrador,"Total, all education levels","Total, in education",46.0
2005,Newfoundland and Labrador,"Total, all education levels","Total, in education",47.0
2006,Newfoundland and Labrador,"Total, all education levels","Total, in education",46.0
2007,Newfoundland and Labrador,"Total, all education levels","Total, in education",48.0
2008,Newfoundland and Labrador,"Total, all education levels","Total, in education",45.0
2009,Newfoundland and Labrador,"Total, all education levels","Total, in education",45.0
2010,Newfoundland and Labrador,"Total, all education levels","Total, in education",44.0
2011,Newfoundland and Labrador,"Total, all education levels","Total, in education",43.0
2012,Newfoundland and Labrador,"Total, all education levels","Total, in education",43.0
2013,Newfoundland and Labrador,"Total, all education levels","Total, in education",44.0
2014,Newfoundland and Labrador,"Total, all education levels","Total, in education",43.0
2015,Newfoundland and Labrador,"Total, all education levels","Total, in education",45.0
2016,Newfoundland and Labrador,"Total, all education levels","Total, in education",42.0
2017,Newfoundland and Labrador,"Total, all education levels","Total, in education",42.0
2018,Newfoundland and Labrador,"Total, all education levels","Total, in education",46.0
2019,Newfoundland and Labrador,"Total, all education levels","Total, in education",45.0
2020,Newfoundland and Labrador,"Total, all education levels","Total, in education",41.0
2021,Newfoundland and Labrador,"Total, all education levels","Total, in education",44.0
2022,Newfoundland and Labrador,"Total, all education levels","Total, in education",44.0
2004,Newfoundland and Labrador,"Total, all education levels","Employed, in education",12.0
2005,Newfoundland and Labrador,"Total, all education levels","Employed, in education",12.0
2006,Newfoundland and Labrador,"Total, all education levels","Employed, in education",13.0
2007,Newfoundland and Labrador,"Total, all education levels","Employed, in education",14.0
2008,Newfoundland and Labrador,"Total, all education levels","Employed, in education",14.0
2009,Newfoundland and Labrador,"Total, all education levels","Employed, in education",14.0
2010,Newfoundland and Labrador,"Total, all education levels","Employed, in education",13.0
2011,Newfoundland and Labrador,"Total, all education levels","Employed, in education",13.0
2012,Newfoundland and Labrador,"Total, all education levels","Employed, in education",15.0
2013,Newfoundland and Labrador,"Total, all education levels","Employed, in education",14.0
2014,Newfoundland and Labrador,"Total, all education levels","Employed, in education",15.0
2015,Newfoundland and Labrador,"Total, all education levels","Employed, in education",18.0
2016,Newfoundland and Labrador,"Total, all education levels","Employed, in education",17.0
2017,Newfoundland and Labrador,"Total, all education levels","Employed, in education",16.0
2018,Newfoundland and Labrador,"Total, all education levels","Employed, in education",16.0
2019,Newfoundland and Labrador,"Total, all education levels","Employed, in education",16.0
2020,Newfoundland and Labrador,"Total, all education levels","Employed, in education",12.0
2021,Newfoundland and Labrador,"Total, all education levels","Employed, in education",14.0
2022,Newfoundland and Labrador,"Total, all education levels","Employed, in education",16.0
2004,Newfoundland and Labrador,"Total, all education levels","Total, not in education",54.0
2005,Newfoundland and Labrador,"Total, all education levels","Total, not in education",53.0
2006,Newfoundland and Labrador,"Total, all education levels","Total, not in education",54.0
2007,Newfoundland and Labrador,"Total, all education levels","Total, not in education",52.0
2008,Newfoundland and Labrador,"Total, all education levels","Total, not in education",55.0
2009,Newfoundland and Labrador,"Total, all education levels","Total, not in education",55.0
2010,Newfoundland and Labrador,"Total, all education levels","Total, not in education",56.0
2011,Newfoundland and Labrador,"Total, all education levels","Total, not in education",57.0
2012,Newfoundland and Labrador,"Total, all education levels","Total, not in education",57.0
2013,Newfoundland and Labrador,"Total, all education levels","Total, not in education",56.0
2014,Newfoundland and Labrador,"Total, all education levels","Total, not in education",57.0
2015,Newfoundland and Labrador,"Total, all education levels","Total, not in education",55.0
2016,Newfoundland and Labrador,"Total, all education levels","Total, not in education",58.0
2017,Newfoundland and Labrador,"Total, all education levels","Total, not in education",58.0
2018,Newfoundland and Labrador,"Total, all education levels","Total, not in education",54.0
2019,Newfoundland and Labrador,"Total, all education levels","Total, not in education",55.0
2020,Newfoundland and Labrador,"Total, all education levels","Total, not in education",59.0
2021,Newfoundland and Labrador,"Total, all education levels","Total, not in education",56.0
2022,Newfoundland and Labrador,"Total, all education levels","Total, not in education",56.0
2004,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",31.0
2005,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",33.0
2006,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",31.0
2007,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",34.0
2008,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",36.0
2009,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",32.0
2010,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",35.0
2011,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",39.0
2012,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",37.0
2013,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",41.0
2014,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",40.0
2015,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",38.0
2016,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",40.0
2017,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",36.0
2018,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",37.0
2019,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",38.0
2020,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",40.0
2021,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",37.0
2022,Newfoundland and Labrador,"Total, all education levels","Employed, not in education",39.0
2004,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",24.0
2005,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2006,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",23.0
2007,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2008,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2009,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",23.0
2010,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",21.0
2011,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2012,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",20.0
2013,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2014,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2015,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2016,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2017,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",21.0
2018,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2019,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2020,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",19.0
2021,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",18.0
2022,Newfoundland and Labrador,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",17.0
2004,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2005,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2006,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2007,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2008,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2009,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2010,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2011,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2012,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2013,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2014,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2015,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2016,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2017,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2018,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2019,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2020,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
2021,Prince Edward Island,"Total, all education levels","Total, in education and not in education",100.0
